COUNTRY,Avg_TAVG_Period1,Avg_TAVG_Period2,TAVG_Change_Percent
Albania,,,
Algeria,,,
American Samoa [United States],27.99230769230769,27.849999999999998,-0.5083814234679871
Antarctica,-6.014285714285714,-12.314285714285715,104.75059382422805
Argentina,15.982432432432432,,
Armenia,,,
Australia,20.84369602763385,21.577709611451944,3.521513568634678
Austria,5.635897435897436,6.46,14.622383985441301
Azerbaijan,15.8,,
"Bahamas, The",25.3,,
Barbados,27.3,,
Belarus,7.683333333333334,,
Belgium,,,
Benin,28.3,28.3,0.0
Bermuda [United Kingdom],,,
Bolivia,26.333333333333332,26.5,0.6329113924050678
Bosnia and Herzegovina,1.6666666666666667,,
Brazil,,,
Burkina Faso,,,
Burma,,25.0,
Canada,-2.2962900505902195,-2.2734989648033124,-0.9925177257572103
Cayman Islands [United Kingdom],,27.7,
Chile,,,
China,13.7552,13.074242424242424,-4.950546526096139
Christmas Island [Australia],24.8,,
Cocos (Keeling) Islands [Australia],26.8,,
Colombia,,,
Costa Rica,25.8,,
Cote D'Ivoire,,,
Croatia,13.253846153846155,13.8125,4.215031921067898
Cuba,25.766666666666666,,
Cyprus,20.192307692307693,20.4,1.028571428571416
Czech Republic,7.12,,
Denmark,9.9,7.65,-22.727272727272727
Egypt,24.253846153846155,,
El Salvador,28.560000000000002,,
Estonia,6.323076923076924,7.118181818181818,12.574651625746505
Europa Island [France],,25.5,
Falkland Islands (Islas Malvinas) [United Kingdom],,,
Federated States of Micronesia,27.494871794871795,28.094444444444445,2.1806708321676167
Fiji,,,
Finland,3.005128205128205,3.7416666666666663,24.509385665528995
France,13.189230769230768,13.878333333333334,5.224736576072177
French Guiana [France],26.5,,
French Polynesia,,,
French Southern and Antarctic Lands [France],,,
Germany,9.571153846153846,10.379166666666666,8.442167302926793
Greece,18.181818181818183,,
Greenland [Denmark],-4.534782608695652,-6.2846153846153845,38.58691643926544
Guadeloupe [France],26.7,,
Guam [United States],27.707692307692305,28.0,1.0549694614103367
Hungary,11.7,12.425,6.196581196581209
Iceland,5.358333333333333,5.325,-0.6220839813374783
India,24.96,27.38181818181818,9.702797202797187
Indonesia,26.619999999999997,27.25,2.36664162283998
Iran,16.804166666666667,,
Ireland,10.266666666666667,10.181818181818182,-0.8264462809917451
Israel,,26.7,
Italy,10.893939393939394,,
Jamaica,27.457142857142856,28.266666666666666,2.948317724592441
Jan Mayen [Norway],0.6538461538461539,1.1583333333333334,77.15686274509805
Japan,18.4625,,
Kazakhstan,6.786666666666666,,
Kenya,,,
Kiribati,,,
"Korea, North",,5.6,
"Korea, South",,,
Kyrgyzstan,7.2272727272727275,,
Latvia,7.76,8.0,3.092783505154642
Libya,25.125,24.8,-1.293532338308455
Lithuania,7.288888888888888,,
Luxembourg,9.961538461538462,10.488888888888889,5.293865293865293
Madagascar,26.7,26.15,-2.0599250936329616
Malaysia,,,
Maldives,,,
Mali,,,
Malta,,,
Marshall Islands,28.065384615384616,28.37826086956522,1.1148119238996468
Mauritius,25.71875,27.2,5.759416767922233
Mayotte [France],,,
Mexico,25.05,25.866666666666664,3.260146373918814
Moldova,10.700000000000001,,
Mongolia,,,
Morocco,,15.799999999999999,
Namibia,21.6125,,
Nepal,19.1,,
Netherlands,10.438461538461537,10.966666666666667,5.0601817735200365
New Caledonia [France],23.816666666666666,,
New Zealand,11.653125,,
Niger,29.96666666666667,28.3,-5.561735261401561
Norway,3.6584615384615384,3.8312500000000003,4.722981497056359
Oman,27.200000000000003,27.45,0.9191176470588104
Pakistan,,,
Palau,28.023076923076925,28.18,0.5599780400768526
Papua New Guinea,27.433333333333334,,
Peru,,,
Philippines,27.6,,
Pitcairn Islands [United Kingdom],21.599999999999998,,
Poland,,,
Portugal,17.553846153846152,17.685714285714287,0.7512207336922675
Puerto Rico [United States],27.03846153846154,27.563636363636363,1.9423251002198272
Romania,5.776470588235294,-0.6,-110.38696537678207
Russia,-2.0723067559342665,-1.159009628610729,-44.071521974640866
Saint Helena [United Kingdom],26.0,,
Saudi Arabia,28.475,,
Senegal,,,
Seychelles,27.475,,
Slovakia,7.0,7.9624999999999995,13.749999999999993
Solomon Islands,,,
South Africa,15.503389830508475,15.92,2.6872198535038794
Spain,14.963716814159293,15.410377358490566,2.984957212693468
Sri Lanka,16.240000000000002,,
Svalbard [Norway],-3.623076923076923,-2.308333333333333,-36.28803963198868
Sweden,5.9750000000000005,5.7371428571428575,-3.9808726838015565
Switzerland,-0.43846153846153846,0.42000000000000004,-195.78947368421055
Tajikistan,13.363636363636363,,
Thailand,27.985000000000003,,
Tunisia,,,
Turkey,14.41304347826087,,
Turkmenistan,,,
Tuvalu,,,
Ukraine,9.313461538461539,10.046428571428573,7.869974337040215
United Arab Emirates,,,
United Kingdom,9.37948717948718,9.6625,3.017359212684519
United States,11.003542857142858,11.814819587628865,7.372868366295076
Uruguay,18.2,17.8,-2.19780219780219
Uzbekistan,14.672727272727274,14.471428571428572,-1.371924234377772
Venezuela,25.75,,
Vietnam,,,
Wallis and Futuna [France],27.7,27.666666666666668,-0.12033694344162973
