COUNTRY,Avg_DP10_Period1,Avg_DP10_Period2,DP10_Change_Percent,Abs_Change_Percent
Pakistan,6.6875,20.785714285714285,210.8144191941105,210.8144191941105
Svalbard [Norway],19.0,30.0,57.89473683905817,57.89473683905817
Chile,73.875,37.16836734693878,-49.68748920820892,49.68748920820892
Greenland [Denmark],79.88461538461539,42.25,-47.11121810244348,47.11121810244348
Mexico,35.035714285714285,21.866666666666667,-37.58749575156053,37.58749575156053
New Caledonia [France],70.25,45.0,-35.943060497709,35.943060497709
Morocco,13.0,17.125,31.730769228328406,31.730769228328406
Israel,1.5384615384615385,2.0,29.999999980499993,29.999999980499993
Tunisia,29.5,37.583333333333336,27.40112994257398,27.40112994257398
South Africa,138.15,175.0,26.673905175340757,26.673905175340757
