COUNTRY,Avg_EMNT_Period1,Avg_EMNT_Period2,EMNT_Change_Percent,Abs_Change_Percent
Saudi Arabia,3.4125,18.4,439.1941390654376,439.1941390654376
Chile,0.275,1.1749999999999998,327.2727260826445,327.2727260826445
Turkey,-6.35734126984127,2.8666666666666667,-145.09222560879076,145.09222560879076
India,5.516666666666667,9.854074074074074,78.6236992136768,78.6236992136768
Algeria,-2.5,-0.9,-64.0000000256,64.0000000256
Libya,3.075,5.0,62.6016259959019,62.6016259959019
Niger,9.125,3.5666666666666664,-60.913242002457004,60.913242002457004
Egypt,1.4300000000000002,0.75,-47.5524475191941,47.5524475191941
Ireland,-2.315,-1.3727272727272728,-40.70292560171735,40.70292560171735
Mexico,8.85,11.9,34.46327683226404,34.46327683226404
