COUNTRY,Avg_FZF0_Period1,Avg_FZF0_Period2,FZF0_Change_Percent,Abs_Change_Percent
Chile,-0.15000000000000002,-0.44999999999999996,200.00000133333327,200.00000133333327
New Zealand,-0.8108333333333334,-0.2,-75.3340185923955,75.3340185923955
Antarctica,-2.92,-5.091666666666667,74.37214614419139,74.37214614419139
Uzbekistan,-2.0537037037037034,-0.6111111111111112,-70.24346261310322,70.24346261310322
Latvia,-1.3,-0.4666666666666666,-64.10256415187378,64.10256415187378
Greenland [Denmark],-1.1416666666666666,-0.53,-53.57664238269487,53.57664238269487
Netherlands,-0.9307692307692308,-1.383333333333333,48.622589583919556,48.622589583919556
Hungary,-1.2999999999999998,-0.7625000000000001,-41.34615387795857,41.34615387795857
Iceland,-1.6865384615384615,-1.05,-37.74230332910604,37.74230332910604
Ireland,-0.7,-0.9333333333333332,33.333333380952375,33.333333380952375
