COUNTRY,Avg_HTDD_Period1,Avg_HTDD_Period2,HTDD_Change_Percent,Abs_Change_Percent
India,82.15,7.6,-90.74863055276022,90.74863055276022
Mexico,29.264285714285712,3.6999999999999997,-87.35660238900905,87.35660238900905
Cuba,0.9750000000000001,0.4,-58.97435891387246,58.97435891387246
Egypt,342.65,199.9,-41.66058660428524,41.66058660428524
Denmark,3107.2,3971.9,27.828913491237195,27.828913491237195
Romania,5090.344999999999,6402.0,25.76750691750251,25.76750691750251
Antarctica,8700.146666666667,10849.36,24.70318508040193,24.70318508040193
South Africa,1771.215974025974,1434.3922727272727,-19.01652346398564,19.01652346398564
China,2630.166103953518,2234.7742982456143,-15.032959519682901,15.032959519682901
Cyprus,658.2769230769231,561.1,-14.7623165373245,14.7623165373245
