COUNTRY,Avg_TMAX_Period1,Avg_TMAX_Period2,TMAX_Change_Percent,Abs_Change_Percent
Greenland [Denmark],-0.5347222222222222,-2.868333333333333,436.41558523173813,436.41558523173813
Antarctica,-4.22,-8.77142857142857,107.85375764234854,107.85375764234854
Svalbard [Norway],-1.0999999999999999,0.05833333333333333,-105.30303039876034,105.30303039876034
Romania,7.156666666666666,12.7625,78.33022821448577,78.33022821448577
Russia,2.6132534264593636,4.263973989435691,63.167259081381076,63.167259081381076
Switzerland,2.161538461538462,2.9227272727272724,35.21514071486323,35.21514071486323
Italy,15.796666666666665,20.35,28.824646548080334,28.824646548080334
Egypt,31.663888888888888,25.5,-19.466619878321957,19.466619878321957
Jan Mayen [Norway],2.476923076923077,2.908333333333333,17.417184257978562,17.417184257978562
Sri Lanka,23.197222222222223,27.0875,16.770446652372478,16.770446652372478
