COUNTRY,Avg_TMIN_Period1,Avg_TMIN_Period2,TMIN_Change_Percent,Abs_Change_Percent
Turkey,9.726190476190476,16.166666666666668,66.21787025022975,66.21787025022975
Antarctica,-9.623999999999999,-15.924999999999999,65.47173733016125,65.47173733016125
Finland,-1.276923076923077,-0.5055555555555555,-60.4082999134389,60.4082999134389
Slovakia,1.5692307692307692,2.475,57.72058819851139,57.72058819851139
Jan Mayen [Norway],-1.1923076923076923,-0.5916666666666667,-50.376344128272635,50.376344128272635
Romania,2.465384615384615,3.6045454545454545,46.20621186609706,46.20621186609706
Austria,2.1153846153846154,2.9033333333333333,37.24848483087647,37.24848483087647
Sweden,3.9384615384615387,2.5277777777777777,-35.81814235201667,35.81814235201667
New Zealand,7.727777777777778,5.2,-32.710280369598955,32.710280369598955
Estonia,2.4923076923076923,3.2818181818181817,31.677889998513077,31.677889998513077
